Application Date,Permit Status,Permit Type,Event Category,Event Sub-Category,Name of Event,Year-Month-App#,Event Start Date,Event End Date,Event Location - Park,Event Location - Neighborhood,Council District,Precinct,Organization,Attendance
07/03/2019 12:00:00 AM,Complete,Special Event,Commercial,,Reuben's Brews Anniversary Party,S19AU390,09/07/2019 12:00:00 AM,09/07/2019 12:00:00 AM,,Ballard,6,North,Reuben's Brews,520
02/13/2019 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Alki Beach Sunset Run,S19AU154,09/06/2019 12:00:00 AM,09/06/2019 12:00:00 AM,Alki Beach,Alki / Admiral,1,Southwest,Fizz Events,1240
08/14/2019 12:00:00 AM,Complete,Special Event,Community,,UW Husky Marching Band Rally (9.6),S19SE440,09/06/2019 12:00:00 AM,09/06/2019 12:00:00 AM,,University District,4,North,Husky Marching Band,1000
04/18/2019 12:00:00 AM,Complete,Special Event,Commercial,,HRS Back to School Block Party,S19SE273,09/06/2019 12:00:00 AM,09/06/2019 12:00:00 AM,,North Beacon Hill / Jefferson Park,3,South,Hamlin Robinson School,555
06/28/2019 12:00:00 AM,Complete,Special Event,Commercial,,Cider Summit Seattle,S19SE379,09/06/2019 12:00:00 AM,09/07/2019 12:00:00 AM,Lake Union Park,Cascade / Eastlake / South Lake Union,7,West,Cider Summit,3300
12/31/2018 12:00:00 AM,Complete,Special Event,Mixed Free Speech,,San Gennaro Festival,S19SE064,09/06/2019 12:00:00 AM,09/08/2019 12:00:00 AM,,Georgetown,2,South,San Gennaro Foundation-Seattle,2430
08/30/2019 12:00:00 AM,Issued,Valet Parking,,,Butler Valet - Nordic Heritage Museum,S19SE459,09/05/2019 12:00:00 AM,09/05/2019 12:00:00 AM,,Ballard,6,North,Butler Valet,100
08/16/2019 12:00:00 AM,Complete,Special Event,Free Speech,,Protest Carnival's Climate Pollution,S19SE448,09/04/2019 12:00:00 AM,09/04/2019 12:00:00 AM,,Queen Anne,7,West,Stand.earth,35
01/10/2019 12:00:00 AM,Complete,Special Event,Community,,Sounders FC March to the Match (9.1),S19SE107,09/01/2019 12:00:00 AM,09/01/2019 12:00:00 AM,,"Duwamish / SODO, Pioneer Square",7,West,Sounders FC,500
02/21/2019 12:00:00 AM,Complete,Special Event,Community,,ENAT Empowering Ethiopian Women and Family,S19AU169,08/31/2019 12:00:00 AM,08/31/2019 12:00:00 AM,Seward Park,Seward Park,2,South,ENAT,500
07/11/2019 12:00:00 AM,Complete,Special Event,Commercial,,PAX WEST 2019 - 9th Ave,S19AU398,08/30/2019 12:00:00 AM,09/02/2019 12:00:00 AM,,Downtown,7,West,Reed Exhibitions / Penny Arcade,100000
05/29/2019 12:00:00 AM,Complete,Special Event,Commercial,,PAX WEST 2019 [Street Use],S19AU326,08/30/2019 12:00:00 AM,09/02/2019 12:00:00 AM,,Downtown,7,West,Washington State Convention Center,75600
03/13/2019 12:00:00 AM,Complete,Special Event,Community,,Happy Hour in the Park - Occidental (8.28),S19AU207,08/28/2019 12:00:00 AM,08/28/2019 12:00:00 AM,Occidental Park,Pioneer Square,7,West,Metropolitan Improvement District,410
01/29/2019 12:00:00 AM,Complete,Special Event,Athletic,Water,Park to Park Swim,S19AU129,08/25/2019 12:00:00 AM,08/25/2019 12:00:00 AM,,Cedar Park / Meadowbrook,5,"Harbor, North",Seattle Children's Guild Association,475
05/20/2019 12:00:00 AM,Complete,Special Event,Free Speech,,"""March to the Match"" for Mariners Washington State Recovery Day",S19AU319,08/25/2019 12:00:00 AM,08/25/2019 12:00:00 AM,,"Duwamish / SODO, Pioneer Square",7,"Traffic, West",Washington Recovery Alliance,120
08/13/2019 12:00:00 AM,Cancelled,Special Event,Free Speech,,Seattle Town Hall with Elizabeth Warren,S19AU439,08/25/2019 12:00:00 AM,08/25/2019 12:00:00 AM,Gas Works Park,Fremont,4,North,Warren for President,4103
05/29/2019 12:00:00 AM,Cancelled,Special Event,Community,,11th Street Fair,S19AU327,08/25/2019 12:00:00 AM,08/25/2019 12:00:00 AM,,Capitol Hill,3,East,CHCC/ Blue Cone/ Pettirosso Seattle,105
